movies_id,genre_id
653346,878
653346,12
653346,28
929590,10752
929590,28
929590,18
719221,27
719221,53
823464,878
823464,28
823464,12
614933,878
614933,28
437342,27
746036,28
746036,35
746036,80
746036,9648
746036,10749
940721,878
940721,27
940721,28
786892,28
786892,12
786892,878
882059,28
882059,53
882059,80
882059,878
693134,878
693134,12
1011985,16
1011985,28
1011985,10751
1011985,35
1011985,14
1219685,18
1219685,10770
1022789,16
1022789,10751
1022789,18
1022789,12
1022789,35
748783,16
748783,35
748783,10751
748783,12
660360,28
660360,36
660360,18
660360,10752
385687,28
385687,80
385687,53
7451,28
7451,12
7451,53
7451,80
980083,28
980083,53
1041613,27
1041613,9648
1041613,53
872585,18
872585,36
940551,16
940551,28
940551,12
940551,35
940551,10751
573435,80
573435,28
573435,53
1096197,28
1096197,27
1096197,53
996154,28
996154,80
996154,9648
996154,53
1093995,28
1093995,53
1094844,28
1094844,878
438631,878
438631,12
967847,14
967847,12
967847,35
1010581,18
1010581,10749
1087388,27
1087388,53
739547,16
739547,14
739547,10751
414906,80
414906,9648
414906,53
1147400,16
1147400,12
1147400,28
1147400,14
1147400,10751
634492,28
634492,14
601796,878
601796,28
601796,14
601796,12
346698,35
346698,12
920342,878
1107387,18
1107387,10751
298618,28
298618,12
298618,878
76341,28
76341,12
76341,878
359410,28
359410,53
1111873,27
1111873,53
5548,28
5548,53
5548,878
934632,878
934632,28
934632,18
293660,28
293660,12
293660,35
843527,10749
843527,35
843527,18
508947,16
508947,10751
508947,35
508947,14
1290938,16
1290938,35
1290938,10770
150540,16
150540,10751
150540,12
150540,18
150540,35
218,28
218,53
218,878
603,28
603,878
348,27
348,878
284053,28
284053,12
284053,878
263115,28
263115,18
263115,878
760104,27
760104,53
760104,9648
43074,28
43074,14
43074,35
299537,28
299537,12
299537,878
11,12
11,28
11,878
1366,18
680,53
680,80
634521,28
634521,53
634521,14
634521,9648
634521,12
634521,18
284054,28
284054,12
284054,878
577922,28
577922,53
577922,878
475557,80
475557,53
475557,18
405774,27
405774,53
405774,18
10138,12
10138,28
10138,878
157336,12
157336,18
157336,878
27205,28
27205,878
27205,12
297762,28
297762,12
297762,14
206647,28
206647,12
206647,53
119450,878
119450,28
119450,18
119450,53
106,878
106,28
106,12
106,53
1111966,28
1111966,9648
1111966,53
62,878
62,9648
62,12
1072589,28
1072589,878
1072589,53
1072589,10749
335983,878
335983,28
609681,878
609681,12
609681,28
1057001,28
1057001,53
1057001,18
126889,878
126889,27
126889,9648
68730,18
68730,36
284052,28
284052,12
284052,14
617127,14
381288,27
381288,53
967847,14
967847,12
967847,35
378018,9648
378018,27
378018,878
609681,878
609681,12
609681,28
9482,878
359410,28
359410,53
157336,12
157336,18
157336,878
64635,28
64635,878
64635,53
1147400,16
1147400,12
1147400,28
1147400,14
1147400,10751
16281,27
16281,35
424139,27
424139,53
1087388,27
1087388,53
739547,16
739547,14
739547,10751
103,80
103,18
601796,878
601796,28
601796,14
601796,12
920342,878
635,27
635,9648
400928,18
400928,35
9482,878
68730,18
68730,36
320288,878
320288,28
320288,12
526896,28
526896,878
526896,14
615777,18
615777,35
597891,28
15,9648
15,18
937287,10749
937287,18
2666,9648
2666,878
281338,18
281338,878
281338,10752
424139,27
424139,53
103,80
103,18
378018,9648
378018,27
378018,878
1284004,16
1284004,35
1034751,27
1034751,14
1034751,28
1034751,9648
111,28
111,80
111,18
617127,14
64635,28
64635,878
64635,53
339403,28
339403,80
339403,28
339403,80
812037,18
812037,53
807,80
807,9648
807,53
16281,27
16281,35
578,27
578,53
578,12
315635,28
315635,12
315635,878
315635,18
141052,28
141052,12
141052,878
639720,35
639720,14
639720,10751
635,27
635,9648
984324,28
984324,53
399170,35
399170,80
399170,28
399170,18
447200,28
447200,53
447200,12
482706,18
845111,12
845111,28
845111,18
235,80
235,18
1151703,27
1151703,28
1151703,878
297802,28
297802,12
297802,14
829,80
829,18
829,9648
829,53
618588,12
618588,18
960469,27
960469,53
976906,10752
976906,28
976906,36
383498,28
383498,35
383498,12
323260,10749
323260,18
323260,35
620,35
620,14
287947,28
287947,35
287947,14
766507,53
766507,28
766507,878
856289,28
856289,14
856289,10752
935271,878
935271,28
391713,18
391713,35
369885,28
369885,18
369885,10752
369885,10749
369885,53
14564,27
299536,12
299536,28
299536,878
34152,35
34152,18
10155,80
10155,18
10155,53
36647,27
36647,28
9348,878
9348,27
9348,28
198184,80
198184,28
198184,878
439079,27
76600,878
76600,12
76600,28
474350,27
634649,28
634649,12
634649,878
61791,53
61791,28
61791,18
61791,878
615457,28
615457,53
395458,53
395458,80
395458,18
395458,9648
948,27
948,53
480530,18
480530,28
62215,18
62215,878
497698,28
497698,12
497698,878
27579,80
27579,18
27579,53
895959,10749
895959,18
765,27
765,35
765,14
1062807,16
1062807,35
1062807,12
1062807,28
763215,14
763215,28
763215,12
550,18
667538,28
667538,12
667538,878
792307,878
792307,10749
792307,35
301337,18
301337,878
505948,878
505948,53
838209,9648
838209,27
838209,53
821937,28
821937,53
4233,27
4233,9648
2142,80
2142,18
2142,9648
862,16
862,12
862,10751
862,35
951491,27
951491,53
1374,18
639720,35
639720,14
639720,10751
670292,28
670292,12
670292,878
961,35
961,28
961,12
961,10752
845111,12
845111,28
845111,18
9802,28
9802,12
9802,53
856289,28
856289,14
856289,10752
634649,28
634649,12
634649,878
447365,878
447365,12
447365,28
935999,28
935999,9648
935999,53
935999,27
935999,80
935999,18
264660,18
264660,878
1012201,16
1012201,18
976906,10752
976906,28
976906,36
540901,18
540901,35
540901,80
473033,18
473033,53
473033,80
1034751,27
1034751,14
1034751,28
1034751,9648
